# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380102176278e-10       4.196776592507e-15       3.551087297190e-13       0.000000000000e+00       8.330107732698e-09       4.522318523930e-10      -1.850087178552e-12 
    3       1.306230052199e-10       5.388337392046e-15       3.983238596285e-13       0.000000000000e+00       5.119239570611e-09       3.201520889174e-10      -1.403835894627e-12 
    4       1.236336249651e-10       4.671863527642e-15       3.723931839705e-13       0.000000000000e+00       3.545001276082e-09       2.420977042245e-10      -9.207375286521e-13 
    5       1.183910203756e-10       3.124526011485e-15       3.171643244970e-13       0.000000000000e+00       2.637417945127e-09       1.909777702209e-10      -5.135243262711e-13 
    6       1.147841442664e-10       1.750222374020e-15       2.554975281569e-13       0.000000000000e+00       2.054624636873e-09       1.552094824009e-10      -2.128768202671e-13 
    7       1.124811854030e-10       9.450365875018e-16       2.006385256666e-13       0.000000000000e+00       1.653619678879e-09       1.290692498827e-10      -2.050814131261e-14 
    8       1.111245679921e-10       6.077412264632e-16       1.584003728886e-13       0.000000000000e+00       1.363913176684e-09       1.092854945598e-10       7.827861312621e-14 
    9       1.104820280108e-10       4.870251703375e-16       1.300583929716e-13       0.000000000000e+00       1.146643206949e-09       9.385705817735e-11       1.066189981012e-13 
   10       1.103643025952e-10       4.151374910958e-16       1.142812727954e-13       0.000000000000e+00       9.787826143184e-10       8.157814071690e-11       9.026162143927e-14 
   11       1.106530649397e-10       3.485099410277e-16       1.084490317700e-13       0.000000000000e+00       8.374764821638e-10       7.241720701196e-11       5.324783739427e-14 
   12       1.112931764235e-10       3.025535859029e-16       1.095365981303e-13       0.000000000000e+00       7.318617215922e-10       6.416244759811e-11       1.341023157916e-14 
