# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380106926586e-10       4.197009065711e-15       3.551087258490e-13       2.324731464606e-19       8.330107732698e-09       4.522318523930e-10      -1.850087178552e-12 
    3       1.306239529569e-10       5.388802426784e-15       3.983238423689e-13       4.650341718121e-19       5.119239570611e-09       3.201520889174e-10      -1.403835894627e-12 
    4       1.236351994250e-10       4.672638781224e-15       3.723931343273e-13       7.752507980375e-19       3.545001276082e-09       2.420977042245e-10      -9.207375286521e-13 
    5       1.183933726512e-10       3.125689257236e-15       3.171642112650e-13       1.163236217331e-18       2.637417945127e-09       1.909777702209e-10      -5.135243262711e-13 
    6       1.147874219421e-10       1.751851528579e-15       2.554973051815e-13       1.629128567206e-18       2.054624636873e-09       1.552094824009e-10      -2.128768202671e-13 
    7       1.124855320594e-10       9.472097367748e-16       2.006381293005e-13       2.173088813430e-18       1.653619678879e-09       1.290692498827e-10      -2.050814131261e-14 
    8       1.111301228112e-10       6.105366497414e-16       1.583997196747e-13       2.795298323307e-18       1.363913176684e-09       1.092854945598e-10       7.827861312621e-14 
    9       1.104889254882e-10       4.905213620569e-16       1.300573775777e-13       3.495956186025e-18       1.146643206949e-09       9.385705817735e-11       1.066189981012e-13 
   10       1.103726723631e-10       4.194131796209e-16       1.142797662199e-13       4.275276341998e-18       9.787826143184e-10       8.157814071690e-11       9.026162143927e-14 
   11       1.106630316996e-10       3.536441038032e-16       1.084468798340e-13       5.133484586650e-18       8.374764821638e-10       7.241720701196e-11       5.324783739427e-14 
   12       1.113048599854e-10       3.086254602923e-16       1.095336202642e-13       6.070815515801e-18       7.318617215922e-10       6.416244759811e-11       1.341023157916e-14 
   13       1.121771532161e-10       2.960649355015e-16       1.147733950297e-13       7.087509479667e-18       6.451463893998e-10       5.732662528732e-11      -1.737306601872e-14 
   14       1.132018705267e-10       3.083583060343e-16       1.221449219560e-13       8.183809610561e-18       5.729905300117e-10       5.135183535012e-11      -3.443006477728e-14 
   15       1.144052269188e-10       3.334712915311e-16       1.303708831143e-13       9.359958985664e-18       5.122508299888e-10       4.632032132334e-11      -3.787001578120e-14 
   16       1.157953215283e-10       3.685486360497e-16       1.387206555363e-13       1.061619798094e-17       4.606016943303e-10       4.205701799882e-11      -3.154321115563e-14 
   17       1.172411409180e-10       4.189299502755e-16       1.470671608705e-13       1.195276186547e-17       4.162899488401e-10       3.837823119618e-11      -2.060523935088e-14 
   18       1.187901864321e-10       4.901861100674e-16       1.555830000856e-13       1.336987858628e-17       3.778295895506e-10       3.507581153018e-11      -1.006917078158e-14 
   19       1.204580263723e-10       5.828576350222e-16       1.644664167370e-13       1.486776741444e-17       3.445997399553e-10       3.214562591561e-11      -2.566371532430e-15 
   20       1.221750618662e-10       6.951317622536e-16       1.738829830275e-13       1.644663645034e-17       3.153329312934e-10       2.958590650922e-11       1.959245758827e-16 
