# z w cs2
0.00010000 -1.00000000 0.00000000
0.00010351 -1.00000000 0.00000000
0.00010714 -1.00000000 0.00000000
0.00011091 -1.00000000 0.00000000
0.00011480 -1.00000000 0.00000000
0.00011883 -1.00000000 0.00000000
0.00012300 -1.00000000 0.00000000
0.00012732 -1.00000000 0.00000000
0.00013179 -1.00000000 0.00000000
0.00013641 -1.00000000 0.00000000
0.00014120 -1.00000000 0.00000000
0.00014616 -1.00000000 0.00000000
0.00015129 -1.00000000 0.00000000
0.00015660 -1.00000000 0.00000000
0.00016210 -1.00000000 0.00000000
0.00016779 -1.00000000 0.00000000
0.00017368 -1.00000000 0.00000000
0.00017978 -1.00000000 0.00000000
0.00018609 -1.00000000 0.00000000
0.00019262 -1.00000000 0.00000000
0.00019938 -1.00000000 0.00000000
0.00020638 -1.00000000 0.00000000
0.00021363 -1.00000000 0.00000000
0.00022112 -1.00000000 0.00000000
0.00022889 -1.00000000 0.00000000
0.00023692 -1.00000000 0.00000000
0.00024524 -1.00000000 0.00000000
0.00025385 -1.00000000 0.00000000
0.00026276 -1.00000000 0.00000000
0.00027198 -1.00000000 0.00000000
0.00028153 -1.00000000 0.00000000
0.00029141 -1.00000000 0.00000000
0.00030164 -1.00000000 0.00000000
0.00031223 -1.00000000 0.00000000
0.00032319 -1.00000000 0.00000000
0.00033454 -1.00000000 0.00000000
0.00034628 -1.00000000 0.00000000
0.00035844 -1.00000000 0.00000000
0.00037102 -1.00000000 0.00000000
0.00038405 -1.00000000 0.00000000
0.00039753 -1.00000000 0.00000000
0.00041148 -1.00000000 0.00000000
0.00042593 -1.00000000 0.00000000
0.00044088 -1.00000000 0.00000000
0.00045636 -1.00000000 0.00000000
0.00047238 -1.00000000 0.00000000
0.00048896 -1.00000000 0.00000000
0.00050613 -1.00000000 0.00000000
0.00052389 -1.00000000 0.00000000
0.00054228 -1.00000000 0.00000000
0.00056132 -1.00000000 0.00000000
0.00058102 -1.00000000 0.00000000
0.00060142 -1.00000000 0.00000000
0.00062253 -1.00000000 0.00000000
0.00064439 -1.00000000 0.00000000
0.00066701 -1.00000000 0.00000000
0.00069042 -1.00000000 0.00000000
0.00071466 -1.00000000 0.00000000
0.00073975 -1.00000000 0.00000000
0.00076572 -1.00000000 0.00000000
0.00079260 -1.00000000 0.00000000
0.00082042 -1.00000000 0.00000000
0.00084922 -1.00000000 0.00000000
0.00087903 -1.00000000 0.00000000
0.00090989 -1.00000000 0.00000000
0.00094183 -1.00000000 0.00000000
0.00097490 -1.00000000 0.00000000
0.00100912 -1.00000000 0.00000000
0.00104454 -1.00000000 0.00000000
0.00108121 -1.00000000 0.00000000
0.00111917 -1.00000000 0.00000000
0.00115845 -1.00000000 0.00000000
0.00119912 -1.00000000 0.00000000
0.00124122 -1.00000000 0.00000000
0.00128479 -1.00000000 0.00000000
0.00132989 -1.00000000 0.00000000
0.00137658 -1.00000000 0.00000000
0.00142490 -1.00000000 0.00000000
0.00147492 -1.00000000 0.00000000
0.00152670 -1.00000000 0.00000000
0.00158029 -1.00000000 0.00000000
0.00163577 -1.00000000 0.00000000
0.00169319 -1.00000000 0.00000000
0.00175263 -1.00000000 0.00000000
0.00181415 -1.00000000 0.00000000
0.00187784 -1.00000000 0.00000000
0.00194376 -1.00000000 0.00000000
0.00201199 -1.00000000 0.00000000
0.00208262 -1.00000000 0.00000000
0.00215573 -1.00000000 0.00000000
0.00223141 -1.00000000 0.00000000
0.00230974 -1.00000000 0.00000000
0.00239082 -1.00000000 0.00000000
0.00247475 -1.00000000 0.00000000
0.00256163 -1.00000000 0.00000000
0.00265155 -1.00000000 0.00000000
0.00274463 -1.00000000 0.00000000
0.00284098 -1.00000000 0.00000000
0.00294071 -1.00000000 0.00000000
0.00304395 -1.00000000 0.00000000
0.00315080 -1.00000000 0.00000000
0.00326141 -1.00000000 0.00000000
0.00337590 -1.00000000 0.00000000
0.00349441 -1.00000000 0.00000000
0.00361708 -1.00000000 0.00000000
0.00374405 -1.00000000 0.00000000
0.00387549 -1.00000000 0.00000000
0.00401153 -1.00000000 0.00000000
0.00415236 -1.00000000 0.00000000
0.00429812 -1.00000000 0.00000000
0.00444901 -1.00000000 0.00000000
0.00460519 -1.00000000 0.00000000
0.00476685 -1.00000000 0.00000000
0.00493419 -1.00000000 0.00000000
0.00510740 -1.00000000 0.00000000
0.00528670 -1.00000000 0.00000000
0.00547228 -1.00000000 0.00000000
0.00566438 -1.00000000 0.00000000
0.00586323 -1.00000000 0.00000000
0.00606906 -1.00000000 0.00000000
0.00628211 -1.00000000 0.00000000
0.00650264 -1.00000000 0.00000000
0.00673091 -1.00000000 0.00000000
0.00696719 -1.00000000 0.00000000
0.00721177 -1.00000000 0.00000000
0.00746494 -1.00000000 0.00000000
0.00772699 -1.00000000 0.00000000
0.00799825 -1.00000000 0.00000000
0.00827902 -1.00000000 0.00000000
0.00856965 -1.00000000 0.00000000
0.00887049 -1.00000000 0.00000000
0.00918188 -1.00000000 0.00000000
0.00950421 -1.00000000 0.00000000
0.00983785 -1.00000000 0.00000000
0.01018320 -1.00000000 0.00000000
0.01054068 -1.00000000 0.00000000
0.01091070 -1.00000000 0.00000000
