# z w_eff(z) cs2_fld(z)
0.00010000 -2.10811959 1.00000000
0.00010351 -2.10811501 1.00000000
0.00010714 -2.10811489 1.00000000
0.00011091 -2.10811477 1.00000000
0.00011480 -2.10811464 1.00000000
0.00011883 -2.10811451 1.00000000
0.00012300 -2.10811438 1.00000000
0.00012732 -2.10811424 1.00000000
0.00013179 -2.10811409 1.00000000
0.00013641 -2.10811395 1.00000000
0.00014120 -2.10811379 1.00000000
0.00014616 -2.10811363 1.00000000
0.00015129 -2.10811347 1.00000000
0.00015660 -2.10811329 1.00000000
0.00016210 -2.10811312 1.00000000
0.00016779 -2.10811293 1.00000000
0.00017368 -2.10811274 1.00000000
0.00017978 -2.10811255 1.00000000
0.00018609 -2.10811234 1.00000000
0.00019262 -2.10811213 1.00000000
0.00019938 -2.10811191 1.00000000
0.00020638 -2.10811169 1.00000000
0.00021363 -2.10811145 1.00000000
0.00022112 -2.10811121 1.00000000
0.00022889 -2.10811096 1.00000000
0.00023692 -2.10811070 1.00000000
0.00024524 -2.10811043 1.00000000
0.00025385 -2.10811015 1.00000000
0.00026276 -2.10810987 1.00000000
0.00027198 -2.10810957 1.00000000
0.00028153 -2.10810926 1.00000000
0.00029141 -2.10810894 1.00000000
0.00030164 -2.10810861 1.00000000
0.00031223 -2.10810827 1.00000000
0.00032319 -2.10810792 1.00000000
0.00033454 -2.10810755 1.00000000
0.00034628 -2.10810717 1.00000000
0.00035844 -2.10810678 1.00000000
0.00037102 -2.10810637 1.00000000
0.00038405 -2.10810595 1.00000000
0.00039753 -2.10810552 1.00000000
0.00041148 -2.10810507 1.00000000
0.00042593 -2.10810460 1.00000000
0.00044088 -2.10810412 1.00000000
0.00045636 -2.10810362 1.00000000
0.00047238 -2.10810310 1.00000000
0.00048896 -2.10810257 1.00000000
0.00050613 -2.10810201 1.00000000
0.00052389 -2.10810144 1.00000000
0.00054228 -2.10810085 1.00000000
0.00056132 -2.10810023 1.00000000
0.00058102 -2.10809960 1.00000000
0.00060142 -2.10809894 1.00000000
0.00062253 -2.10809826 1.00000000
0.00064439 -2.10809755 1.00000000
0.00066701 -2.10809682 1.00000000
0.00069042 -2.10809607 1.00000000
0.00071466 -2.10809529 1.00000000
0.00073975 -2.10809448 1.00000000
0.00076572 -2.10809364 1.00000000
0.00079260 -2.10809277 1.00000000
0.00082042 -2.10809187 1.00000000
0.00084922 -2.10809095 1.00000000
0.00087903 -2.10808998 1.00000000
0.00090989 -2.10808899 1.00000000
0.00094183 -2.10808796 1.00000000
0.00097490 -2.10808689 1.00000000
0.00100912 -2.10808579 1.00000000
0.00104454 -2.10808465 1.00000000
0.00108121 -2.10808347 1.00000000
0.00111917 -2.10808224 1.00000000
0.00115845 -2.10808098 1.00000000
0.00119912 -2.10807967 1.00000000
0.00124122 -2.10807831 1.00000000
0.00128479 -2.10807691 1.00000000
0.00132989 -2.10807545 1.00000000
0.00137658 -2.10807395 1.00000000
0.00142490 -2.10807239 1.00000000
0.00147492 -2.10807078 1.00000000
0.00152670 -2.10806911 1.00000000
0.00158029 -2.10806739 1.00000000
0.00163577 -2.10806560 1.00000000
0.00169319 -2.10806375 1.00000000
0.00175263 -2.10806184 1.00000000
0.00181415 -2.10805986 1.00000000
0.00187784 -2.10805781 1.00000000
0.00194376 -2.10805568 1.00000000
0.00201199 -2.10805349 1.00000000
0.00208262 -2.10805122 1.00000000
0.00215573 -2.10804886 1.00000000
0.00223141 -2.10804643 1.00000000
0.00230974 -2.10804391 1.00000000
0.00239082 -2.10804130 1.00000000
0.00247475 -2.10803860 1.00000000
0.00256163 -2.10803581 1.00000000
0.00265155 -2.10803292 1.00000000
0.00274463 -2.10802993 1.00000000
0.00284098 -2.10802683 1.00000000
0.00294071 -2.10802362 1.00000000
0.00304395 -2.10802031 1.00000000
0.00315080 -2.10801688 1.00000000
0.00326141 -2.10801332 1.00000000
0.00337590 -2.10800965 1.00000000
0.00349441 -2.10800584 1.00000000
0.00361708 -2.10800191 1.00000000
0.00374405 -2.10799783 1.00000000
0.00387549 -2.10799361 1.00000000
0.00401153 -2.10798925 1.00000000
0.00415236 -2.10798473 1.00000000
0.00429812 -2.10798006 1.00000000
0.00444901 -2.10797523 1.00000000
0.00460519 -2.10797022 1.00000000
0.00476685 -2.10796504 1.00000000
0.00493419 -2.10795968 1.00000000
0.00510740 -2.10795414 1.00000000
0.00528670 -2.10794840 1.00000000
0.00547228 -2.10794246 1.00000000
0.00566438 -2.10793632 1.00000000
0.00586323 -2.10792996 1.00000000
0.00606906 -2.10792338 1.00000000
0.00628211 -2.10791657 1.00000000
0.00650264 -2.10790953 1.00000000
0.00673091 -2.10790224 1.00000000
0.00696719 -2.10789470 1.00000000
0.00721177 -2.10788690 1.00000000
0.00746494 -2.10787883 1.00000000
0.00772699 -2.10787047 1.00000000
0.00799825 -2.10786183 1.00000000
0.00827902 -2.10785289 1.00000000
0.00856965 -2.10784364 1.00000000
0.00887049 -2.10783407 1.00000000
0.00918188 -2.10782417 1.00000000
0.00950421 -2.10781393 1.00000000
0.00983785 -2.10780333 1.00000000
0.01018320 -2.10779237 1.00000000
0.01054068 -2.10778103 1.00000000
0.01091070 -2.10776930 1.00000000
0.01129372 -2.10775716 1.00000000
0.01169018 -2.10774461 1.00000000
0.01210056 -2.10773163 1.00000000
0.01252534 -2.10771820 1.00000000
0.01296504 -2.10770431 1.00000000
0.01342017 -2.10768994 1.00000000
0.01389128 -2.10767508 1.00000000
0.01437892 -2.10765971 1.00000000
0.01488369 -2.10764381 1.00000000
0.01540617 -2.10762737 1.00000000
0.01594700 -2.10761037 1.00000000
0.01650681 -2.10759279 1.00000000
0.01708628 -2.10757461 1.00000000
0.01768608 -2.10755581 1.00000000
0.01830694 -2.10753637 1.00000000
0.01894960 -2.10751627 1.00000000
0.01961482 -2.10749549 1.00000000
0.02030339 -2.10747400 1.00000000
0.02101613 -2.10745178 1.00000000
0.02175389 -2.10742881 1.00000000
0.02251755 -2.10740507 1.00000000
0.02330802 -2.10738053 1.00000000
0.02412623 -2.10735515 1.00000000
0.02497317 -2.10732893 1.00000000
0.02584985 -2.10730182 1.00000000
0.02675729 -2.10727381 1.00000000
0.02769660 -2.10724485 1.00000000
0.02866887 -2.10721493 1.00000000
0.02967528 -2.10718401 1.00000000
0.03071702 -2.10715206 1.00000000
0.03179532 -2.10711904 1.00000000
0.03291148 -2.10708493 1.00000000
0.03406682 -2.10704969 1.00000000
